,Year 5,Year 4,Year 3,Year 2,Year 1
Sales/total assets,0.66152156,0.60165048,0.57132507,0.52593179,0.69359554
Net income margin,-0.15488032,-0.16332042,-0.12683483,-0.06842027,-0.03668692
EBIT/Sale,0.04940599,0.02092456,0.05276314,0.08070004,0.06672262
EBITDA/Sale,0.31828911,0.32212043,0.31226877,0.31133769,0.28597014
EBITDA/ Assets,0.21055511,0.19380391,0.17840697,0.16374239,0.19834761
Total debt/ EBITDA,5.45186055,5.74863835,5.68137768,5.7176666,3.59910022
WC/ Asset,-0.08049548,-0.03159151,-0.04657502,0.08409168,-0.28688202
Price to book ratio,-0.99369035,-3.26504079,-8.58486894,-30.84048203,-43.12363436
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.44444444,-0.30769231,0.11428571,-0.73484848,-0.38404264
market cap based on Jun's data,91.7587,149.8905,206.7195,176.5138,637.5765
90-days stock vol,0.99498,0.69822,0.4883,1.0984,0.47225
Trading volume,94.0753125,243.5724,256.3786875,645.5255756,435.2535
Total asset,421.029,516.82,545.309,687.849,576.115
Diluted EPS,-0.44,2.64,-2.05,-8.39,-3.32
Liability / assets,0.77464498,0.75612012,1.03106129,0.96357049,0.42917647
equity / assets,0.22535502,0.24387988,-0.03106129,0.03642951,0.57082353
Cash / asset,0.00012588,0.21080841,0.02819502,0.03886754,0.0635151
Current ratio,1.96531352,0.95046994,0.54110298,1.17117138,1.67118172
Inventory / sales,0.06111496,0.03017494,0.02733496,0.02953608,0.0245596
Net debt/EBITDA,6.4423859,2.79003056,5.89608021,-17.72693004,-0.78563584
A/P / Sales,0.06298639,0.0826054,0.07730344,0.1059419,0.0597053
A/R / Sales,0.22216656,0.18206412,0.20453897,0.25527519,0.24639508
ROE,-0.22865484,0.99379572,5.01912859,-13.33103201,-0.38944232
ROA,-0.05152852,0.24236678,-0.1559006,-0.48564292,-0.22230284
Sales/total assets,1.05720034,0.91548508,0.95719858,0.87604256,0.78195499
Net income margin,-0.04874054,0.26474138,-0.16287174,-0.55435997,-0.28429109
EBIT/Sale,0.02034319,0.02671931,0.02244578,-0.12343653,-0.30544333
EBITDA/Sale,0.0845203,0.14522098,0.14599143,-0.04490487,-0.25467485
EBITDA/ Assets,0.08935489,0.13294764,0.13974279,-0.03933858,-0.19914427
Total debt/ EBITDA,6.44379469,4.3756804,6.09784392,-18.71495621,-1.10457596
WC/ Asset,0.15368063,-0.02248365,-0.24303468,0.05440438,0.14475409
Price to book ratio,0.96709246,1.18921074,-12.20448105,7.04420943,1.93874749
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.291939,0.13054187,0.12777778,-0.02173913,0.27777778
market cap based on Jun's data,230.8049,325.3076,283.6849,251.1157,256.6501
90-days stock vol,0.42756,0.34866,0.25829,0.34114,0.33988
Trading volume,262.3501563,387.23535,211.3864375,213.70275,142.7886
Total asset,697.543,619.997,489.383,478.012,377.598
Diluted EPS,-2.73,1.79,-0.65,1.17,2
Liability / assets,0.67556265,0.67278551,0.63641974,0.61278378,0.54460564
equity / assets,0.32443735,0.32721449,0.36358026,0.38721622,0.45539436
Cash / asset,0.02662488,0.03159209,0.02716686,0.03942788,0.06008242
Current ratio,0.34053033,0.49141706,0.48625647,0.70533998,0.75786399
Inventory / sales,0.00799679,0.00672048,0.00616555,0.00804937,0.00591846
Net debt/EBITDA,3.74713781,3.82727711,3.09429841,3.25775719,1.92763867
A/P / Sales,0.09455155,0.05696056,0.05022427,0.0681921,0.07166251
A/R / Sales,0.00108396,0.00165286,0.00150917,0.03347782,0.01164157
ROE,-0.13542104,0.09950116,-0.04089811,0.07070461,0.09858917
ROA,-0.04393564,0.03255822,-0.01486974,0.02737797,0.04489695
Sales/total assets,0.69037751,0.73967777,0.87196735,0.76305407,0.86763966
Net income margin,-0.06364003,0.04401676,-0.0170531,0.03587947,0.05174608
EBIT/Sale,0.10676789,0.12144405,0.12652147,0.10351228,0.13804755
EBITDA/Sale,0.18464267,0.19436849,0.19309346,0.17812797,0.20685919
EBITDA/ Assets,0.12747315,0.14377005,0.16837119,0.13592127,0.17947923
Total debt/ EBITDA,3.95600441,4.04701751,3.25564941,3.54783599,2.26239837
WC/ Asset,-0.08004381,-0.05170509,-0.05637098,-0.03463093,-0.02831583
Price to book ratio,1.0198662,1.60351157,1.59436239,1.35669282,1.49253356
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.58064516,0.09734513,0.00892857,-0.40740741,-0.28409091
market cap based on Jun's data,388.4725,884.2905,686.7999,680.008,1145.4581
90-days stock vol,0.63273,0.38679,0.42911,0.38559,0.39828
Trading volume,353.69945,1269.901825,909.709325,968.9162,1212.2082
Total asset,1947.752,2097.5129,1837.158,1288.96,1208.937
Diluted EPS,-0.03,-0.98,0.81,0.84,1.34
Liability / assets,0.68933314,0.70958276,0.65020918,0.59736299,0.59436265
equity / assets,0.31066686,0.29041728,0.34979082,0.40263701,0.40563735
Cash / asset,0.03452904,0.02325564,0.00814247,0.0124263,0.00856951
Current ratio,1.50715056,1.8422647,1.94214447,2.4364528,2.85573336
Inventory / sales,0.18099715,0.2198081,0.27196776,0.21568486,0.22005071
Net debt/EBITDA,6.52307786,15.18924587,5.59253765,4.0402072,3.2458965
A/P / Sales,0.07108348,0.08221445,0.10096986,0.06454487,0.07596566
A/R / Sales,0.09326802,0.15903116,0.37471087,0.39181034,0.47862194
ROE,-0.00325069,-0.09052391,0.06253297,0.07997179,0.13624462
ROA,-0.00100988,-0.02628971,0.02187346,0.0321996,0.05526591
Sales/total assets,1.39974591,1.17745931,0.86716494,1.05460914,0.95301823
Net income margin,-0.00072148,-0.02232749,0.0252241,0.03053226,0.0579904
EBIT/Sale,0.0266392,0.0034117,0.06885864,0.07745767,0.12046116
EBITDA/Sale,0.04822111,0.0252938,0.09012133,0.0991298,0.14118609
EBITDA/ Assets,0.0674973,0.02978242,0.07815006,0.1045432,0.13455292
Total debt/ EBITDA,7.03463961,15.97009717,5.69672782,4.15907,3.30958529
WC/ Asset,0.19526772,0.28195154,0.29945002,0.40951542,0.45833323
Price to book ratio,0.64199507,1.45166986,1.06874799,1.31027028,2.33581048
real GDP growth,0.04753238,0.04481405,0.04447221,0.03772504,0.02684285
Inflation,0.02188027,0.01552279,0.0233769,0.02931204,0.0280542
Unemployment,0.04216667,0.04508333,0.0495,0.05416667,0.05608333
10-year risk free,0.05636667,0.05264167,0.063525,0.06438334,0.0658
YoY % in stock price,-0.5,0.06666667,-0.25,-0.23076923,-0.38095238
market cap based on Jun's data,128.416,255.137,223.2263,241.34,307.2534
90-days stock vol,0.98056,0.98629,0.82149,0.78895,0.80304
Trading volume,85.6865,124.63724,120.2640975,116.17038,248.913756
Total asset,39.897,101.601,105.486,101.134,116.657
Diluted EPS,-2.02,-0.64,0.4,-1.04,-0.64
Liability / assets,1.43777728,0.56205155,0.39709535,0.15872011,0.13928868
equity / assets,-0.43777728,0.43794845,0.60290465,0.84127989,0.86071132
Cash / asset,0.03539113,0.15733113,0.15468403,0.12705915,0.23725966
Current ratio,2.68067808,6.4661395,6.1097561,9.04303279,16.5203383
Inventory / sales,0.27226837,0.42328318,0.73955255,0.63221241,0.66385252
Net debt/EBITDA,-12.77054264,-3.06973484,-0.48480967,0.86767746,3.01197467
A/P / Sales,0.04075805,0.05031283,0.06943858,0.04155074,0.02498277
A/R / Sales,0.08079497,0.10431253,0.18460673,0.09574211,0.02389157
ROE,3.7126417,-0.43392665,0.22362338,-0.18197739,-0.04902996
ROA,-1.62531017,-0.1900375,0.13482358,-0.15309392,-0.04220064
Sales/total assets,0.86893751,0.26428874,0.13474774,0.16348607,0.14925808
Net income margin,-1.87045691,-0.71905258,1.00056283,-0.93643401,-0.28273604
EBIT/Sale,-0.23563517,-0.5354536,-1.67750106,-1.00828596,-0.73811165
EBITDA/Sale,-0.09302527,-0.31882169,-1.37322358,-0.78982702,-0.49879394
EBITDA/ Assets,-0.08083315,-0.08426098,-0.18503877,-0.12912571,-0.07444903
Total debt/ EBITDA,-13.20837209,-4.93692326,-1.32076438,-0.11631825,-0.17489925
WC/ Asset,0.24352708,0.26534188,0.24229756,0.23285937,0.33034451
Price to book ratio,-7.35234169,5.73393114,3.50995786,2.83655767,3.060049
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.73953488,1.38888889,0.18421053,-0.26923077,-0.07142857
market cap based on Jun's data,46.6655,176.5688,74.4187,67.431,92.274
90-days stock vol,0.51785,0.33736,0.42512,0.38597,0.28268
Trading volume,21.8169,62.46153125,26.4639375,16.626425,30.4603
Total asset,363.134,366.814,195.007,188.872,194.192
Diluted EPS,0.53,0.94,0.62,0.46,0.74
Liability / assets,0.70156747,0.72437257,0.54492916,0.54329917,0.5866668
equity / assets,0.29843253,0.27562743,0.45507084,0.45670083,0.4133332
Cash / asset,0.00072976,0.00258442,0.00504084,0.00515693,0.00288374
Current ratio,3.01186993,2.69349852,4.37478131,3.79334198,3.65349817
Inventory / sales,0.10813005,0.20872686,0.11869339,0.1115173,0.11431974
Net debt/EBITDA,3.78035138,4.85430295,2.49740787,2.33088101,2.59979014
A/P / Sales,0.04750135,0.09481081,0.04235549,0.05272976,0.06320075
A/R / Sales,0.17090953,0.27294928,0.21661238,0.1851434,0.23823953
ROE,0.06489744,0.12226025,0.09465642,0.07605092,0.12892134
ROA,0.01936751,0.03369828,0.04307538,0.03473252,0.05328747
Sales/total assets,1.14978217,0.68207048,1.00440497,1.05581028,0.92959545
Net income margin,0.0168445,0.04940586,0.04288646,0.03289655,0.05732329
EBIT/Sale,0.08343452,0.11744134,0.10424474,0.10462708,0.12642366
EBITDA/Sale,0.13059817,0.17291051,0.16347911,0.16495414,0.18477177
EBITDA/ Assets,0.15015945,0.11793716,0.16419923,0.17416028,0.171763
Total debt/ EBITDA,3.78521127,4.87621645,2.52810743,2.36049128,2.61657922
WC/ Asset,0.23290851,0.21949544,0.26708272,0.23945847,0.24315626
Price to book ratio,0.43060874,1.74640766,0.83859616,0.78173619,1.14960257
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.73697917,0.21008607,0.23958125,0.66957102,0.1500006
market cap based on Jun's data,75.0304,288.696,268.2855,219.336,130.87
90-days stock vol,0.76194,0.26569,0.20409,0.19023,0.37258
Trading volume,43.3226875,124.2648,193.2110503,142.8552,98.92409342
Total asset,275.804,195.064,171.949,166.743,150.555
Diluted EPS,-1.19,1.29,1.4067,2.32,0.9133
Liability / assets,0.739924,0.54603105,0.45650745,0.41067991,0.44205108
equity / assets,0.260076,0.45396895,0.54349255,0.58932009,0.55794892
Cash / asset,0.00263593,0.00312205,0.00484446,0.00446196,0.01098602
Current ratio,0.92401648,1.48271288,1.6822455,1.84072096,1.52970727
Inventory / sales,0.49049044,0.27137218,0.20695008,0.20089626,0.22481893
Net debt/EBITDA,-4.25873203,1.68781608,0.72621785,0.35713838,0.34624739
A/P / Sales,0.33980441,0.07363562,0.0608278,0.08108533,0.09499882
A/R / Sales,0.18757116,0.20227896,0.19282544,0.16979541,0.21466717
ROE,-0.19675171,0.17668515,0.20335356,0.34589121,0.17062689
ROA,-0.0511704,0.08020957,0.11052114,0.20384064,0.09520109
Sales/total assets,0.49680208,1.3870422,1.59590344,1.56444948,1.43156322
Net income margin,-0.10299956,0.05782778,0.06925303,0.13029544,0.06650149
EBIT/Sale,-0.22876222,0.09251114,0.11623314,0.10298588,0.10959546
EBITDA/Sale,-0.20456138,0.11108729,0.13472709,0.12227968,0.13353191
EBITDA/ Assets,-0.10162652,0.15408276,0.21501143,0.19130038,0.19115938
Total debt/ EBITDA,-4.28466945,1.70807825,0.74874902,0.38046272,0.40371786
WC/ Asset,-0.05422329,0.23691199,0.29543644,0.32953107,0.22271595
Price to book ratio,1.04601143,3.26014929,2.87080672,2.2320867,1.5579391
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,0.03846154,-0.19941349,-0.05013928,0.40784314,-0.28169014
market cap based on Jun's data,1922.4135,1823.5376,2218.5886,2279.65,1408.875
90-days stock vol,0.55687,0.34319,0.1861,0.25344,0.25215
Trading volume,2689.100269,1534.424483,1718.772138,2095.155413,1948.302
Total asset,5101,4996,3913,3261,3274
Diluted EPS,-13.16,0.89,-5.54,4.64,3.6
Liability / assets,1.18055283,0.98278623,1.06874521,1.00551978,1.20769701
equity / assets,-0.18055283,0.01721377,-0.06874521,-0.00551978,-0.20769701
Cash / asset,0.01058616,0.01160929,0.01150013,0.00551978,0.01802077
Current ratio,0.81200212,1.09257842,0.85459411,0.99038462,0.8667288
Inventory / sales,0.08724296,0.11502401,0.08872651,0.0700443,0.0665473
Net debt/EBITDA,2.54368932,3.72505543,1.61930783,1.59963437,2.44798301
A/P / Sales,0.10421242,0.09970272,0.09890397,0.08361019,0.08892868
A/R / Sales,0.09003793,0.09878802,0.08194154,0.08693245,0.09817965
ROE,0.76547231,0.54651163,1.05576208,-12.83333333,-0.23382353
ROA,-0.13820819,0.00940753,-0.07257858,0.07083717,0.04856445
Sales/total assets,0.98196432,0.87530024,0.97929977,1.10763569,1.02351863
Net income margin,-0.14074666,0.01074777,-0.07411273,0.06395349,0.04744852
EBIT/Sale,0.08404871,0.06357192,0.10647182,0.11683278,0.10534169
EBITDA/Sale,0.12337792,0.10313286,0.14326722,0.15143965,0.14055506
EBITDA/ Assets,0.12115272,0.09027222,0.14030156,0.16773996,0.14386072
Total debt/ EBITDA,2.63106796,3.85365854,1.70127505,1.63254113,2.57324841
WC/ Asset,-0.06939816,0.02421938,-0.04165602,-0.00275989,-0.04367746
Price to book ratio,-2.08731107,21.20392558,-8.24754126,-126.6472222,-2.071875
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,0.14285714,0.2962963,-0.7244898,-0.03921569,-0.61363636
market cap based on Jun's data,47.625,32.7687,25.2754,88.5797,82.3395
90-days stock vol,0.59815,0.81496,0.92231,0.88039,1.28236
Trading volume,49.5865,45.808,69.733575,292.200475,443.27925
Total asset,49.263,29.057,30.11,43.481,34.899
Diluted EPS,-0.4,0.08,-1.27,-1.09,0.33
Liability / assets,0.33522116,0.14375194,0.19256061,0.31406821,0.15765495
equity / assets,0.66477884,0.85624806,0.80743939,0.68593179,0.84234505
Cash / asset,0.11251852,0.80001377,0.58492195,0.05632345,0.14960314
Current ratio,1.45270738,5.80105339,3.35507378,0.46344086,1.26709849
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,-1.01830331,9.74266555,2.65424145,-0.17202684,-30.86792453
A/P / Sales,0.06433896,0.11809721,0.00408376,0.00838554,0.01938784
A/R / Sales,0.15496273,0.0041365,0.00384047,0.0008615,0.0222655
ROE,-0.10494977,0.0227492,-0.39104146,-0.24955574,0.08619927
ROA,-0.06976839,0.01947896,-0.31574228,-0.17117822,0.07260953
Sales/total assets,0.31045612,0.16639708,3.82231817,4.91207654,0.98578756
Net income margin,-0.22472865,0.11706308,-0.08260492,-0.03484844,0.07365637
EBIT/Sale,-0.30770237,-0.55884178,-0.06719089,-0.04498038,-0.00874924
EBITDA/Sale,-0.22505558,-0.49348501,-0.05664263,-0.04047158,0.00462169
EBITDA/ Assets,-0.06986988,-0.08211446,-0.21650614,-0.19879948,0.004556
Total debt/ EBITDA,-2.62870424,0,-0.04739991,-0.45534475,1.96855346
WC/ Asset,0.06635812,0.69016072,0.42932581,-0.16066788,0.04017307
Price to book ratio,1.45424288,1.31706994,1.03962652,2.96998156,2.80094908
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.13081395,0.26937269,0.0503876,0.14159292,-0.27452362
market cap based on Jun's data,288.1613,331.315,264.767,251.9693,220.4065
90-days stock vol,0.30698,0.18759,0.17502,0.15271,0.20395
Trading volume,66.8377125,124.2872,83.5493,82.11495,140.410975
Total asset,389.961,339.6,314.303,300.067,296.658
Diluted EPS,-5.39,1.91,2.21,1.11,1.73
Liability / assets,0.57343683,0.45017668,0.44009125,0.47110479,0.49597516
equity / assets,0.42656317,0.54982332,0.55990875,0.52889521,0.50402484
Cash / asset,0.24010093,0.14738516,0.23324944,0.23765359,0.28659601
Current ratio,0.78991597,0.55456719,1.03631103,0.83567308,0.93057268
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,-8.16283147,-1.71369838,-1.75295601,-1.38909963,-1.83626432
A/P / Sales,0.08077597,0.07339604,0.06841658,0.07492059,0.08790049
A/R / Sales,0.05335235,0.00843343,0.03945938,0,0
ROE,-0.24985722,0.07904349,0.09797649,0.05485054,0.09093584
ROA,-0.10657989,0.04345995,0.05485789,0.02901019,0.04583392
Sales/total assets,1.04468396,1.31075677,1.41902241,1.47207457,1.49809882
Net income margin,-0.10202118,0.03315638,0.03865893,0.01970701,0.03059473
EBIT/Sale,-0.0246793,0.01854727,0.04550642,0.01941723,0.01963445
EBITDA/Sale,0.02240136,0.06174559,0.08893438,0.06326165,0.06384683
EBITDA/ Assets,0.02340234,0.08093345,0.12619988,0.09312587,0.09564886
Total debt/ EBITDA,2.0968661,0.10736766,0.09529812,1.16286144,1.16007048
WC/ Asset,-0.09244514,-0.14760012,0.01082077,-0.05231165,-0.02334675
Price to book ratio,1.73233199,1.77439482,1.50452037,1.58766824,1.47406419
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.21100917,0.54609929,0.38235294,-0.07272727,-0.27631579
market cap based on Jun's data,989.2365,883.2542,500.2504,311.9797,226.6275
90-days stock vol,1.01435,0.56173,0.55348,0.58946,0.58725
Trading volume,4930.25315,2098.16825,1108.557863,552.60795,400.8015
Total asset,1589.647,1217.4399,944.133,583.553,201.991
Diluted EPS,-9.25,-8.49,-6.94,-3.25,-1.56
Liability / assets,1.10368654,0.86595815,0.89937117,0.80993843,0.80275854
equity / assets,-0.1036866,0.13404768,0.10062883,0.19006157,0.19724146
Cash / asset,0.16500959,0.18961922,0.4157624,0.46168214,0.02982806
Current ratio,4.18751081,3.72545351,5.12682888,5.12617612,0.83434574
Inventory / sales,0,0.01592102,0.04662374,0.08252845,0.11075398
Net debt/EBITDA,-29.90077278,-5.61810153,-7.95701462,-5.41334879,-16.25923306
A/P / Sales,0.1003043,0.11206341,0.13001514,0.13181615,0.48337929
A/R / Sales,0.37439049,0.23329742,0.21551819,0.21040229,0.49354626
ROE,2.51087971,-1.97688655,-1.55104361,-0.69107663,-0.59908135
ROA,-0.26034459,-0.26499706,-0.1560797,-0.13134711,-0.11816368
Sales/total assets,0.19080777,0.20126004,0.20213995,0.19125941,0.29265165
Net income margin,-1.36443391,-1.31668993,-0.77213684,-0.6867485,-0.40376905
EBIT/Sale,-0.45793675,-0.7638661,-0.44459174,-0.4194427,-0.26863803
EBITDA/Sale,-0.15486438,-0.53327048,-0.25976306,-0.27049548,-0.11955069
EBITDA/ Assets,-0.02954933,-0.10732604,-0.05250849,-0.0517348,-0.03498671
Total debt/ EBITDA,-35.48498073,-7.38486029,-15.87501765,-14.33736337,-17.11178718
WC/ Asset,0.18553427,0.21658071,0.38299795,0.42684898,-0.04239298
Price to book ratio,-6.00173457,5.41226263,5.26540571,2.8128833,5.68829849
real GDP growth,0.04481405,0.04447221,0.03772504,0.02684285,0.04028831
Inflation,0.01552279,0.0233769,0.02931204,0.0280542,0.02607442
Unemployment,0.04508333,0.0495,0.05416667,0.05608333,0.06083333
10-year risk free,0.05264167,0.063525,0.06438334,0.0658,0.0708
YoY % in stock price,-0.2189781,0.90277778,0.5483871,0.19230769,-0.51851852
market cap based on Jun's data,377.7903,369.4547,191.124,123.4343,103.5255
90-days stock vol,0.68741,0.42973,0.35536,0.29141,0.5282
